AUID,RA,Dec,Label,Band,Mag,Error,Comments
000-BKC-032,16:10:57.18,26:23:54.7,82,B,8.694,0.0314,HD 145627 - ROT: - V= 8.17
000-BBW-675,15:53:08.46,27:48:52.0,84,V,8.359,0.01,
000-BBW-675,15:53:08.46,27:48:52.0,84,B,9.485,0.0403,
000-BBW-888,16:01:28.59,26:24:16.5,84,V,8.361,0.021,BINO_COMP. NSV 7394 - ROT: - Ampl. 0.002 TESS.
000-BBW-888,16:01:28.59,26:24:16.5,84,B,8.861,0.0524,BINO_COMP. NSV 7394 - ROT: - Ampl. 0.002 TESS.
000-BBX-089,16:09:48.08,25:59:53.1,85,V,8.529,0.007,
000-BBX-089,16:09:48.08,25:59:53.1,85,B,9.118,0.0396,
000-BBW-552,15:47:06.98,29:06:14.1,87,V,8.747,0.039,
000-BBW-552,15:47:06.98,29:06:14.1,87,B,10.011,0.0775,
000-BMZ-306,15:51:59.86,28:38:37.5,88,V,8.775,0.032,To Red for R CrB comp?
000-BMZ-306,15:51:59.86,28:38:37.5,88,B,10.375,0.0707,To Red for R CrB comp?
000-BPX-083,15:58:58.07,24:37:17.0,88,V,8.791,0.032,BINO_COMP
000-BPX-083,15:58:58.07,24:37:17.0,88,B,9.789,0.0671,BINO_COMP
000-BBW-520,15:45:44.86,28:58:09.6,89,V,8.858,0.032,HD 141002 - ORG - V= 8.86 (ampl. 0.004 TESS).
000-BBW-520,15:45:44.86,28:58:09.6,89,B,9.929,0.0671,HD 141002 - ORG - V= 8.86 (ampl. 0.004 TESS).
000-BKM-119,16:07:01.33,24:25:31.0,89,V,8.919,0.033,
000-BKM-119,16:07:01.33,24:25:31.0,89,B,10.209,0.0702,
000-BPX-084,15:53:43.29,26:39:32.5,89,V,8.877,0.033,
000-BPX-084,15:53:43.29,26:39:32.5,89,B,9.983,0.0702,
000-BKC-033,16:03:50.70,24:15:58.7,90,V,9.047,0.033,
000-BKC-033,16:03:50.70,24:15:58.7,90,B,9.56,0.0685,
000-BBX-126,16:11:25.74,25:25:15.6,92,V,9.249,0.039,
000-BBX-126,16:11:25.74,25:25:15.6,92,B,9.688,0.0775,
000-BBW-787,15:57:54.56,25:45:29.9,93,V,9.307,0.036,NSV 7370 - CST.
000-BBW-787,15:57:54.56,25:45:29.9,93,B,10.744,0.0761,NSV 7370 - CST.
000-BBW-645,15:52:02.61,27:36:11.1,94,V,9.37,0.039,
000-BBW-645,15:52:02.61,27:36:11.1,94,B,10.089,0.0793,
000-BBW-793,15:58:21.12,29:34:31.1,94,V,9.37,0.034,
000-BBW-793,15:58:21.12,29:34:31.1,94,B,10.543,0.076,
000-BJQ-023,16:02:26.74,28:16:46.0,95,V,9.536,0.028,
000-BJQ-023,16:02:26.74,28:16:46.0,95,B,9.998,0.0573,
000-BBW-652,15:52:18.07,28:05:22.7,96,V,9.555,0.013,
000-BBW-652,15:52:18.07,28:05:22.7,96,B,10.238,0.0459,
000-BKC-038,16:11:51.35,25:14:09.6,96,V,9.57,0.029,
000-BKC-038,16:11:51.35,25:14:09.6,96,B,10.234,0.0666,
000-BBW-696,15:54:11.50,29:25:13.1,97,V,9.657,0.036,
000-BBW-696,15:54:11.50,29:25:13.1,97,B,10.598,0.0805,
000-BBW-796,15:58:28.42,25:56:30.9,98,V,9.809,0.023,HD 143256 - ORG - Ampl. 0.003 TESS.
000-BBW-796,15:58:28.42,25:56:30.9,98,B,10.843,0.0419,HD 143256 - ORG - Ampl. 0.003 TESS.
000-BBW-554,15:47:16.23,28:16:46.2,100,V,9.998,0.044,
000-BBW-554,15:47:16.23,28:16:46.2,100,B,10.709,0.0896,
000-BBX-127,16:11:26.23,24:38:29.2,100,V,9.981,0.031,
000-BBX-127,16:11:26.23,24:38:29.2,100,B,11.011,0.0675,
000-BMR-339,16:05:50.25,26:56:21.5,101,V,10.123,0.08,
000-BMR-339,16:05:50.25,26:56:21.5,101,B,10.491,0.1595,
000-BBW-556,15:47:23.09,28:18:25.4,102,V,10.192,0.018,
000-BBW-556,15:47:23.09,28:18:25.4,102,B,10.783,0.0607,
000-BBW-779,15:57:40.02,26:06:18.8,102,V,10.167,0.01,"Combined magnitude of a 10.21 and 13.75 Vmag. pair 8"" apart. Include both stars in your aperture."
000-BBW-779,15:57:40.02,26:06:18.8,102,B,10.753,0.05,"Combined magnitude of a 10.21 and 13.75 Vmag. pair 8"" apart. Include both stars in your aperture."
000-BBX-187,16:13:31.01,24:53:27.1,102,V,10.158,0.033,
000-BBX-187,16:13:31.01,24:53:27.1,102,B,10.897,0.0756,
000-BNX-067,15:57:28.60,22:10:10.6,102,V,10.177,0.006,
000-BNX-067,15:57:28.60,22:10:10.6,102,B,11.358,0.0277,
000-BNY-710,15:57:41.48,28:32:52.4,102,V,10.154,0.08,
000-BNY-710,15:57:41.48,28:32:52.4,102,B,10.774,0.1988,
000-BMR-340,16:09:03.75,27:43:55.2,103,V,10.288,0.121,
000-BMR-340,16:09:03.75,27:43:55.2,103,B,11.102,0.245,
000-BNY-709,15:58:29.66,29:15:44.4,104,V,10.42,0.062,
000-BNY-709,15:58:29.66,29:15:44.4,104,B,11.025,0.2353,
000-BBX-185,16:13:17.37,25:06:11.3,105,V,10.521,0.015,
000-BBX-185,16:13:17.37,25:06:11.3,105,B,11.644,0.0843,
000-BBW-570,15:48:22.57,28:24:43.0,106,V,10.609,0.016,NSV 20408 -10.61 V (0.007)TESS
000-BBW-570,15:48:22.57,28:24:43.0,106,B,11.299,0.0412,NSV 20408 -10.61 V (0.007)TESS
000-BJS-901,15:59:26.42,26:08:47.1,106,V,10.554,0.023,
000-BJS-901,15:59:26.42,26:08:47.1,106,B,11.096,0.055,
000-BNM-863,16:07:55.78,24:53:47.1,106,V,10.588,0.072,
000-BNM-863,16:07:55.78,24:53:47.1,106,B,11.072,0.1331,
000-BBW-721,15:55:48.61,29:11:38.9,107,V,10.714,0.011,
000-BBW-721,15:55:48.61,29:11:38.9,107,B,11.74,0.0273,
000-BBW-782,15:57:51.04,26:15:51.2,107,V,10.736,0.024,GSC 02037-01130 - CST.
000-BBW-782,15:57:51.04,26:15:51.2,107,B,11.328,0.0591,GSC 02037-01130 - CST.
000-BKC-034,16:08:23.41,24:48:50.7,107,V,10.698,0.034,
000-BKC-034,16:08:23.41,24:48:50.7,107,B,11.36,0.0796,
000-BJQ-014,16:01:41.68,28:03:15.1,108,V,10.85,0.026,
000-BJQ-014,16:01:41.68,28:03:15.1,108,B,11.86,0.0528,
000-BMR-341,16:06:24.62,27:00:30.2,108,V,10.769,0.088,
000-BMR-341,16:06:24.62,27:00:30.2,108,B,11.284,0.1774,
000-BBW-727,15:56:02.21,29:24:41.6,109,V,10.901,0.069,
000-BBW-727,15:56:02.21,29:24:41.6,109,B,11.936,0.2201,
000-BMR-342,16:07:30.99,27:13:31.5,110,V,10.972,0.11,
000-BMR-342,16:07:30.99,27:13:31.5,110,B,11.85,0.2221,
000-BBW-557,15:47:23.71,28:14:13.7,111,V,11.076,0.036,
000-BBW-557,15:47:23.71,28:14:13.7,111,B,11.845,0.1262,
000-BMH-419,16:03:43.45,26:13:10.8,111,V,11.143,0.054,
000-BMH-419,16:03:43.45,26:13:10.8,111,B,12.445,0.1128,
000-BBW-805,15:58:51.22,25:50:05.0,112,V,11.166,0.019,
000-BBW-805,15:58:51.22,25:50:05.0,112,B,11.779,0.0338,
000-BJQ-022,16:02:07.33,28:18:53.6,113,V,11.302,0.022,
000-BJQ-022,16:02:07.33,28:18:53.6,113,B,12.436,0.0457,
000-BKC-035,16:10:48.62,25:17:16.1,113,V,11.275,0.118,
000-BKC-035,16:10:48.62,25:17:16.1,113,B,11.852,0.2783,
000-BBW-718,15:55:45.01,29:11:22.2,114,V,11.364,0.017,
000-BBW-718,15:55:45.01,29:11:22.2,114,B,12.552,0.0371,
000-BMR-343,16:06:25.20,27:18:30.2,114,V,11.439,0.088,
000-BMR-343,16:06:25.20,27:18:30.2,114,B,11.84,0.1756,
000-BBX-098,16:10:09.01,24:43:35.5,115,V,11.508,0.109,
000-BBX-098,16:10:09.01,24:43:35.5,115,B,12.06,0.2393,
000-BJQ-019,16:02:17.96,28:13:32.7,115,V,11.536,0.028,
000-BJQ-019,16:02:17.96,28:13:32.7,115,B,12.387,0.0573,
000-BNM-864,16:08:01.92,24:48:20.1,115,V,11.482,0.085,
000-BNM-864,16:08:01.92,24:48:20.1,115,B,12.242,0.1528,
000-BNX-063,15:56:43.12,22:16:36.8,115,V,11.52,0.004,
000-BNX-063,15:56:43.12,22:16:36.8,115,B,12.184,0.0273,
000-BBW-716,15:55:40.74,29:14:21.9,116,V,11.556,0.011,
000-BBW-716,15:55:40.74,29:14:21.9,116,B,12.414,0.0301,
000-BBW-553,15:47:07.62,28:23:23.5,119,V,11.885,0.052,
000-BBW-553,15:47:07.62,28:23:23.5,119,B,12.153,0.1692,
000-BKC-036,16:10:37.02,25:11:24.3,119,V,11.886,0.122,
000-BKC-036,16:10:37.02,25:11:24.3,119,B,12.613,0.2809,
000-BLM-295,16:05:18.76,24:03:24.1,120,V,12.014,0.052,
000-BLM-295,16:05:18.76,24:03:24.1,120,B,12.908,0.1372,
000-BMR-344,16:06:38.77,27:16:16.3,121,V,12.068,0.076,
000-BMR-344,16:06:38.77,27:16:16.3,121,B,13.099,0.1514,
000-BNX-065,15:57:44.27,22:08:51.1,121,V,12.124,0.046,
000-BNX-065,15:57:44.27,22:08:51.1,121,B,12.736,0.2552,
000-BBW-578,15:48:43.20,28:12:12.7,122,V,12.22,0.014,
000-BBW-578,15:48:43.20,28:12:12.7,122,B,12.918,0.0331,
000-BBX-238,16:16:41.58,25:48:09.0,123,V,12.279,0.043,
000-BKC-037,16:10:23.98,24:51:30.4,123,V,12.268,0.113,
000-BKC-037,16:10:23.98,24:51:30.4,123,B,13.1,0.2581,
000-BNX-066,15:57:18.70,22:12:31.7,123,V,12.275,0.009,
000-BNX-066,15:57:18.70,22:12:31.7,123,B,13.288,0.0313,
000-BBW-723,15:55:57.30,29:14:27.6,124,V,12.391,0.015,
000-BBW-723,15:55:57.30,29:14:27.6,124,B,13.079,0.0309,
000-BPC-198,15:59:34.20,25:44:17.3,124,V,12.366,0.014,
000-BPC-198,15:59:34.20,25:44:17.3,124,B,13.079,0.034,
000-BMH-420,16:03:25.09,26:10:45.2,125,V,12.506,0.031,
000-BMH-420,16:03:25.09,26:10:45.2,125,B,13.412,0.0649,
000-BMR-345,16:06:21.63,27:27:09.0,125,V,12.49,0.075,
000-BMR-345,16:06:21.63,27:27:09.0,125,B,13.053,0.151,
000-BBW-705,15:54:59.05,29:19:09.2,126,V,12.56,0.052,
000-BBW-705,15:54:59.05,29:19:09.2,126,B,13.176,0.2008,
000-BBX-099,16:10:09.98,25:10:23.1,126,V,12.644,0.118,
000-BBX-099,16:10:09.98,25:10:23.1,126,B,13.267,0.2674,
000-BJQ-017,16:02:48.14,28:01:51.1,126,V,12.561,0.026,
000-BJQ-017,16:02:48.14,28:01:51.1,126,B,13.411,0.0663,
000-BLM-296,16:05:13.32,24:02:58.9,126,V,12.565,0.048,
000-BLM-296,16:05:13.32,24:02:58.9,126,B,13.261,0.1302,
000-BBW-592,15:49:12.16,28:11:14.7,127,V,12.666,0.021,
000-BBW-592,15:49:12.16,28:11:14.7,127,B,13.171,0.0443,
000-BBX-183,16:13:12.52,24:59:15.7,127,V,12.678,0.087,
000-BBX-183,16:13:12.52,24:59:15.7,127,B,13.064,0.3229,
000-BBW-586,15:48:56.01,28:11:56.8,128,V,12.843,0.019,
000-BBW-586,15:48:56.01,28:11:56.8,128,B,13.457,0.0407,
000-BMG-775,16:10:12.06,22:21:46.9,128,V,12.827,0.149,
000-BMG-775,16:10:12.06,22:21:46.9,128,B,13.582,0.3101,
000-BMR-730,16:16:21.56,22:08:39.3,128,V,12.779,0.057,
000-BMR-730,16:16:21.56,22:08:39.3,128,B,13.871,0.1168,
000-BBX-151,16:12:00.07,24:48:31.5,129,V,12.887,0.07,
000-BJQ-013,16:02:13.13,28:09:00.3,129,V,12.851,0.026,
000-BJQ-013,16:02:13.13,28:09:00.3,129,B,13.895,0.0572,
000-BLM-297,16:06:05.18,24:18:07.3,129,V,12.924,0.055,
000-BLM-297,16:06:05.18,24:18:07.3,129,B,13.475,0.123,
000-BMH-421,16:03:15.82,26:16:38.5,129,V,12.933,0.022,
000-BMH-421,16:03:15.82,26:16:38.5,129,B,13.833,0.2131,
000-BLQ-220,16:09:23.25,25:07:50.7,130,V,12.961,0.108,
000-BLQ-220,16:09:23.25,25:07:50.7,130,B,13.623,0.2469,
000-BMG-776,16:10:35.17,22:17:49.7,130,V,12.965,0.149,
000-BMG-776,16:10:35.17,22:17:49.7,130,B,13.64,0.311,
000-BBX-229,16:16:14.49,25:51:55.9,132,V,13.241,0.153,
000-BJZ-141,15:56:50.95,29:24:18.9,132,V,13.239,0.01,
000-BJZ-141,15:56:50.95,29:24:18.9,132,B,13.821,0.0326,
000-BMR-731,16:15:45.92,22:08:55.8,132,V,13.23,0.038,
000-BMR-731,16:15:45.92,22:08:55.8,132,B,13.926,0.0788,
000-BJQ-015,16:02:03.94,28:03:24.2,133,V,13.306,0.021,
000-BJQ-015,16:02:03.94,28:03:24.2,133,B,14.065,0.0515,
000-BLM-298,16:06:16.84,23:55:25.9,133,V,13.3,0.058,
000-BLM-298,16:06:16.84,23:55:25.9,133,B,13.924,0.1433,
000-BMH-422,16:03:32.05,26:14:11.2,133,V,13.257,0.044,
000-BMH-422,16:03:32.05,26:14:11.2,133,B,14.118,0.0896,
000-BBW-587,15:49:03.03,28:12:51.2,134,V,13.412,0.018,
000-BBW-587,15:49:03.03,28:12:51.2,134,B,13.97,0.0411,
000-BJQ-020,16:01:26.61,28:13:13.9,134,V,13.358,0.035,
000-BJQ-020,16:01:26.61,28:13:13.9,134,B,14.408,0.0792,
000-BJQ-021,16:01:25.84,28:18:48.4,134,V,13.425,0.027,
000-BJQ-021,16:01:25.84,28:18:48.4,134,B,14.084,0.0542,
000-BLQ-219,16:10:43.67,25:09:36.4,134,V,13.436,0.108,
000-BLQ-219,16:10:43.67,25:09:36.4,134,B,14.048,0.2568,
000-BLM-826,15:54:08.79,27:20:17.1,135,V,13.539,0.008,
000-BLM-826,15:54:08.79,27:20:17.1,135,B,14.221,0.0179,
000-BPC-228,15:59:12.10,25:48:16.3,135,V,13.477,0.066,
000-BPC-228,15:59:12.10,25:48:16.3,135,B,14.548,0.1165,
000-BLM-299,16:05:38.66,24:12:45.4,136,V,13.584,0.051,
000-BLM-299,16:05:38.66,24:12:45.4,136,B,14.304,0.1212,
000-BBW-752,15:56:41.43,29:11:24.3,137,V,13.701,0.021,
000-BBW-752,15:56:41.43,29:11:24.3,137,B,14.126,0.04,
000-BJQ-018,16:02:29.38,28:12:00.7,137,V,13.681,0.025,
000-BJQ-018,16:02:29.38,28:12:00.7,137,B,14.325,0.0515,
000-BMG-777,16:10:31.34,22:25:49.5,137,V,13.663,0.151,
000-BMG-777,16:10:31.34,22:25:49.5,137,B,14.636,0.3305,
000-BMR-732,16:16:21.84,22:24:47.4,137,V,13.722,0.026,
000-BMR-732,16:16:21.84,22:24:47.4,137,B,14.796,0.086,
000-BBX-240,16:16:43.04,25:49:05.4,138,V,13.85,0.111,
000-BBX-240,16:16:43.04,25:49:05.4,138,B,14.695,0.1964,
000-BJQ-016,16:02:26.57,28:01:31.2,138,V,13.821,0.027,
000-BJQ-016,16:02:26.57,28:01:31.2,138,B,14.496,0.0586,
000-BPC-218,15:59:41.28,25:53:35.4,138,V,13.791,0.061,
000-BPC-218,15:59:41.28,25:53:35.4,138,B,14.765,0.1104,
000-BBX-093,16:10:01.61,24:58:56.2,139,V,13.938,0.105,
000-BBX-093,16:10:01.61,24:58:56.2,139,B,14.659,0.2528,
000-BLM-300,16:06:16.49,24:13:20.2,139,V,13.851,0.07,
000-BLM-300,16:06:16.49,24:13:20.2,139,B,14.725,0.1494,
000-BPK-107,16:14:01.48,23:46:26.2,139,V,13.938,0.016,
000-BPK-107,16:14:01.48,23:46:26.2,139,B,14.626,0.0806,
000-BBW-566,15:48:12.16,28:08:30.1,141,V,14.131,0.011,
000-BBW-566,15:48:12.16,28:08:30.1,141,B,14.691,0.0292,
000-BBW-741,15:56:23.60,29:10:13.2,141,V,14.106,0.016,
000-BBW-741,15:56:23.60,29:10:13.2,141,B,14.699,0.0385,
000-BMR-733,16:15:50.56,22:16:14.4,141,V,14.089,0.006,
000-BMR-733,16:15:50.56,22:16:14.4,141,B,14.84,0.0257,
000-BBX-175,16:12:42.51,24:52:41.6,142,V,14.187,0.164,
000-BBX-175,16:12:42.51,24:52:41.6,142,B,15.041,0.2874,
000-BKB-506,15:53:53.53,27:22:15.5,143,V,14.32,0.018,
000-BKB-506,15:53:53.53,27:22:15.5,143,B,15.432,0.0457,
000-BLM-301,16:05:42.33,24:07:36.0,143,V,14.319,0.061,
000-BLM-301,16:05:42.33,24:07:36.0,143,B,15.318,0.1418,
000-BPC-229,15:59:28.42,25:52:11.3,143,V,14.342,0.056,
000-BPC-229,15:59:28.42,25:52:11.3,143,B,15.295,0.1094,
000-BPK-108,16:14:27.68,23:41:27.0,143,V,14.257,0.032,
000-BPK-108,16:14:27.68,23:41:27.0,143,B,15.036,0.0724,
000-BBX-115,16:10:38.22,25:05:50.9,144,V,14.382,0.125,
000-BBX-115,16:10:38.22,25:05:50.9,144,B,14.992,0.2742,
000-BKB-500,15:53:45.44,27:26:49.2,144,V,14.378,0.02,
000-BKB-500,15:53:45.44,27:26:49.2,144,B,15.244,0.0474,
000-BMG-778,16:09:56.85,22:17:07.9,144,V,14.4,0.147,
000-BMG-778,16:09:56.85,22:17:07.9,144,B,15.084,0.3065,
