AUID,RA,Dec,Label,Band,Mag,Error,Comments
000-BBW-805,15:58:51.22,25:50:05.0,112,V,11.166,0.019,
000-BBW-805,15:58:51.22,25:50:05.0,112,B,11.779,0.0338,
000-BBX-259,16:17:22.17,25:36:26.0,112,V,11.222,0.045,
000-BBX-259,16:17:22.17,25:36:26.0,112,B,11.788,0.1226,
000-BKM-953,15:38:28.04,29:55:48.3,112,V,11.223,0.034,GSC 2039 0456
000-BKM-953,15:38:28.04,29:55:48.3,112,B,12.485,0.0943,GSC 2039 0456
000-BLY-734,16:27:07.78,18:44:49.2,112,V,11.162,0.033,
000-BLY-734,16:27:07.78,18:44:49.2,112,B,12.108,0.0685,
000-BJQ-022,16:02:07.33,28:18:53.6,113,V,11.302,0.022,
000-BJQ-022,16:02:07.33,28:18:53.6,113,B,12.436,0.0457,
000-BKC-035,16:10:48.62,25:17:16.1,113,V,11.275,0.118,
000-BKC-035,16:10:48.62,25:17:16.1,113,B,11.852,0.2783,
000-BNM-412,16:26:31.97,23:25:46.0,113,V,11.292,0.017,
000-BNM-412,16:26:31.97,23:25:46.0,113,B,12.361,0.038,
000-BBW-718,15:55:45.01,29:11:22.2,114,V,11.364,0.017,
000-BBW-718,15:55:45.01,29:11:22.2,114,B,12.552,0.0371,
000-BBW-804,15:58:50.58,19:55:37.7,114,V,11.439,0.01,
000-BBW-804,15:58:50.58,19:55:37.7,114,B,11.926,0.0316,
000-BBX-337,16:19:52.30,18:20:33.6,114,V,11.378,0.024,
000-BBX-337,16:19:52.30,18:20:33.6,114,B,12.077,0.1549,
000-BBX-626,16:31:25.77,23:28:54.7,114,V,11.363,0.054,
000-BBX-626,16:31:25.77,23:28:54.7,114,B,12.355,0.2519,
000-BCT-108,15:57:40.20,21:19:06.0,114,V,11.438,0.029,
000-BCT-108,15:57:40.20,21:19:06.0,114,B,13.225,0.1312,
000-BMR-343,16:06:25.20,27:18:30.2,114,V,11.439,0.088,
000-BMR-343,16:06:25.20,27:18:30.2,114,B,11.84,0.1756,
000-BBX-098,16:10:09.01,24:43:35.5,115,V,11.508,0.109,
000-BBX-098,16:10:09.01,24:43:35.5,115,B,12.06,0.2393,
000-BBX-573,16:30:10.68,23:23:48.8,115,V,11.5,0.024,
000-BBX-573,16:30:10.68,23:23:48.8,115,B,11.945,0.2183,
000-BJQ-019,16:02:17.96,28:13:32.7,115,V,11.536,0.028,
000-BJQ-019,16:02:17.96,28:13:32.7,115,B,12.387,0.0573,
000-BKM-954,15:38:20.66,29:52:34.5,115,V,11.504,0.043,GSC 2039 0125
000-BKM-954,15:38:20.66,29:52:34.5,115,B,12.435,0.107,GSC 2039 0125
000-BNM-864,16:08:01.92,24:48:20.1,115,V,11.482,0.085,
000-BNM-864,16:08:01.92,24:48:20.1,115,B,12.242,0.1528,
000-BNX-063,15:56:43.12,22:16:36.8,115,V,11.52,0.004,
000-BNX-063,15:56:43.12,22:16:36.8,115,B,12.184,0.0273,
000-BBW-716,15:55:40.74,29:14:21.9,116,V,11.556,0.011,
000-BBW-716,15:55:40.74,29:14:21.9,116,B,12.414,0.0301,
000-BBX-328,16:19:37.81,18:18:36.7,116,V,11.626,0.11,
000-BBX-328,16:19:37.81,18:18:36.7,116,B,13.011,0.3707,
000-BBW-403,15:37:57.43,18:53:51.3,117,V,11.67,0.047,
000-BBW-403,15:37:57.43,18:53:51.3,117,B,12.338,0.0911,
000-BBW-802,15:58:46.58,19:52:19.3,117,V,11.723,0.008,
000-BBW-802,15:58:46.58,19:52:19.3,117,B,12.409,0.0197,
000-BBX-563,16:29:49.89,23:21:17.0,117,V,11.726,0.029,
000-BBX-563,16:29:49.89,23:21:17.0,117,B,12.237,0.2517,
000-BPQ-917,16:31:37.69,25:19:32.4,117,V,11.704,0.027,
000-BPQ-917,16:31:37.69,25:19:32.4,117,B,12.398,0.0404,
000-BQD-415,16:19:56.37,29:45:41.8,117,V,11.671,0.003,
000-BQD-415,16:19:56.37,29:45:41.8,117,B,12.516,0.0058,
000-BBW-187,15:27:35.48,19:41:23.5,118,V,11.778,0.038,
000-BKZ-976,16:04:35.36,20:28:14.3,118,V,11.759,0.02,
000-BKZ-976,16:04:35.36,20:28:14.3,118,B,13.21,0.0529,
000-BNM-413,16:27:07.68,23:26:10.1,118,V,11.754,0.021,
000-BNM-413,16:27:07.68,23:26:10.1,118,B,12.454,0.0417,
000-BBW-553,15:47:07.62,28:23:23.5,119,V,11.885,0.052,
000-BBW-553,15:47:07.62,28:23:23.5,119,B,12.153,0.1692,
000-BBX-244,16:16:48.99,26:03:15.6,119,V,11.869,0.081,
000-BBX-244,16:16:48.99,26:03:15.6,119,B,13.206,0.3466,
000-BBX-474,16:25:25.07,18:53:27.5,119,V,11.896,0.061,
000-BBX-474,16:25:25.07,18:53:27.5,119,B,12.502,0.1249,
000-BKC-036,16:10:37.02,25:11:24.3,119,V,11.886,0.122,
000-BKC-036,16:10:37.02,25:11:24.3,119,B,12.613,0.2809,
000-BKD-375,16:22:45.70,30:52:40.3,119,V,11.9,0.07,V from UCAC3. B-V from 2MASS/CMC14
000-BKD-375,16:22:45.70,30:52:40.3,119,B,12.47,0.1574,V from UCAC3. B-V from 2MASS/CMC14
000-BKX-742,15:55:01.78,29:52:55.1,119,V,11.857,0.02,
000-BKX-742,15:55:01.78,29:52:55.1,119,B,12.618,0.0529,
000-BPH-646,16:17:18.49,31:07:57.0,119,V,11.899,0.003,
000-BPH-646,16:17:18.49,31:07:57.0,119,B,12.564,0.0067,
000-BPQ-919,16:32:46.12,25:32:00.5,119,V,11.945,0.031,
000-BPQ-919,16:32:46.12,25:32:00.5,119,B,12.858,0.0498,
000-BPQ-922,16:32:10.53,25:25:08.6,119,V,11.941,0.025,
000-BPQ-922,16:32:10.53,25:25:08.6,119,B,12.866,0.0398,
000-BBW-192,15:27:44.00,19:36:18.0,120,V,11.989,0.1,
000-BBW-192,15:27:44.00,19:36:18.0,120,B,12.64,0.3698,
000-BBW-774,15:57:34.48,20:56:42.0,120,V,12.007,0.033,
000-BBW-774,15:57:34.48,20:56:42.0,120,B,12.869,0.0574,
000-BBX-604,16:30:48.09,21:20:37.0,120,V,12.044,0.023,
000-BBX-604,16:30:48.09,21:20:37.0,120,B,13.532,0.0419,
000-BLM-295,16:05:18.76,24:03:24.1,120,V,12.014,0.052,
000-BLM-295,16:05:18.76,24:03:24.1,120,B,12.908,0.1372,
000-BLP-681,15:58:43.90,19:18:57.7,120,V,12.024,0.006,
000-BLP-681,15:58:43.90,19:18:57.7,120,B,12.674,0.0143,
000-BPQ-921,16:31:50.49,25:24:18.6,120,V,12.028,0.03,
000-BPQ-921,16:31:50.49,25:24:18.6,120,B,13.139,0.0476,
000-BBW-763,15:57:02.61,20:56:56.4,121,V,12.135,0.016,
000-BBW-763,15:57:02.61,20:56:56.4,121,B,13.164,0.0288,
000-BBX-254,16:17:08.87,26:03:37.3,121,V,12.107,0.046,
000-BBX-254,16:17:08.87,26:03:37.3,121,B,12.474,0.1994,
000-BBX-630,16:31:34.56,23:29:39.8,121,V,12.122,0.042,
000-BBX-630,16:31:34.56,23:29:39.8,121,B,13.017,0.3585,
000-BKM-955,15:38:57.23,29:37:41.8,121,V,12.142,0.049,GSC 2039 0004
000-BKM-955,15:38:57.23,29:37:41.8,121,B,12.724,0.1259,GSC 2039 0004
000-BMR-344,16:06:38.77,27:16:16.3,121,V,12.068,0.076,
000-BMR-344,16:06:38.77,27:16:16.3,121,B,13.099,0.1514,
000-BNX-065,15:57:44.27,22:08:51.1,121,V,12.124,0.046,
000-BNX-065,15:57:44.27,22:08:51.1,121,B,12.736,0.2552,
000-BPH-647,16:16:44.72,31:00:23.4,121,V,12.103,0.004,
000-BPH-647,16:16:44.72,31:00:23.4,121,B,13.152,0.0089,
000-BBW-578,15:48:43.20,28:12:12.7,122,V,12.22,0.014,
000-BBW-578,15:48:43.20,28:12:12.7,122,B,12.918,0.0331,
000-BBW-980,16:05:48.08,18:25:47.8,122,V,12.177,0.013,
000-BBW-980,16:05:48.08,18:25:47.8,122,B,12.636,0.0392,
000-BLY-731,16:26:25.23,19:05:15.1,122,V,12.153,0.047,
000-BLY-731,16:26:25.23,19:05:15.1,122,B,13.25,0.1069,
000-BQD-416,16:19:46.56,29:45:50.0,122,V,12.207,0.004,
000-BQD-416,16:19:46.56,29:45:50.0,122,B,13.092,0.0081,
000-BBX-238,16:16:41.58,25:48:09.0,123,V,12.279,0.043,
000-BJR-396,16:30:27.68,18:22:46.7,123,V,12.259,0.016,
000-BJR-396,16:30:27.68,18:22:46.7,123,B,12.894,0.0367,
000-BKC-037,16:10:23.98,24:51:30.4,123,V,12.268,0.113,
000-BKC-037,16:10:23.98,24:51:30.4,123,B,13.1,0.2581,
000-BKX-743,15:54:40.73,30:01:09.4,123,V,12.273,0.02,
000-BKX-743,15:54:40.73,30:01:09.4,123,B,13.036,0.0529,
000-BLZ-410,15:40:17.97,23:06:41.9,123,V,12.323,0.036,
000-BLZ-410,15:40:17.97,23:06:41.9,123,B,13.188,0.0787,
000-BNX-066,15:57:18.70,22:12:31.7,123,V,12.275,0.009,
000-BNX-066,15:57:18.70,22:12:31.7,123,B,13.288,0.0313,
000-BPQ-918,16:31:18.38,25:29:37.0,123,V,12.269,0.037,
000-BPQ-918,16:31:18.38,25:29:37.0,123,B,13.069,0.0545,
000-BBW-723,15:55:57.30,29:14:27.6,124,V,12.391,0.015,
000-BBW-723,15:55:57.30,29:14:27.6,124,B,13.079,0.0309,
000-BBW-803,15:58:49.16,19:31:03.3,124,V,12.356,0.006,
000-BBW-803,15:58:49.16,19:31:03.3,124,B,13.117,0.0238,
000-BBX-445,16:24:49.79,18:49:35.1,124,V,12.365,0.063,
000-BBX-445,16:24:49.79,18:49:35.1,124,B,13.456,0.1285,
000-BBX-568,16:29:57.75,23:31:26.5,124,V,12.391,0.064,
000-BLZ-411,15:40:29.12,23:11:37.1,124,V,12.45,0.044,
000-BLZ-411,15:40:29.12,23:11:37.1,124,B,13.39,0.0957,
000-BNM-414,16:26:44.69,23:33:23.6,124,V,12.38,0.018,
000-BNM-414,16:26:44.69,23:33:23.6,124,B,13.025,0.0385,
000-BPC-198,15:59:34.20,25:44:17.3,124,V,12.366,0.014,
000-BPC-198,15:59:34.20,25:44:17.3,124,B,13.079,0.034,
000-BMH-420,16:03:25.09,26:10:45.2,125,V,12.506,0.031,
000-BMH-420,16:03:25.09,26:10:45.2,125,B,13.412,0.0649,
000-BMR-345,16:06:21.63,27:27:09.0,125,V,12.49,0.075,
000-BMR-345,16:06:21.63,27:27:09.0,125,B,13.053,0.151,
000-BQD-417,16:19:29.75,29:53:06.2,125,V,12.545,0.005,
000-BQD-417,16:19:29.75,29:53:06.2,125,B,13.297,0.0103,
000-BBW-705,15:54:59.05,29:19:09.2,126,V,12.56,0.052,
000-BBW-705,15:54:59.05,29:19:09.2,126,B,13.176,0.2008,
000-BBW-777,15:57:37.52,21:08:53.4,126,V,12.612,0.001,
000-BBW-777,15:57:37.52,21:08:53.4,126,B,13.63,0.0014,
000-BBX-099,16:10:09.98,25:10:23.1,126,V,12.644,0.118,
000-BBX-099,16:10:09.98,25:10:23.1,126,B,13.267,0.2674,
000-BBX-361,16:20:42.96,18:30:51.2,126,V,12.643,0.176,
000-BBX-361,16:20:42.96,18:30:51.2,126,B,13.437,0.448,
000-BJQ-017,16:02:48.14,28:01:51.1,126,V,12.561,0.026,
000-BJQ-017,16:02:48.14,28:01:51.1,126,B,13.411,0.0663,
000-BKQ-594,16:06:35.49,18:30:04.3,126,V,12.564,0.008,
000-BKQ-594,16:06:35.49,18:30:04.3,126,B,13.067,0.0447,
000-BLM-296,16:05:13.32,24:02:58.9,126,V,12.565,0.048,
000-BLM-296,16:05:13.32,24:02:58.9,126,B,13.261,0.1302,
000-BLY-732,16:26:28.43,18:39:04.4,126,V,12.608,0.041,
000-BLY-732,16:26:28.43,18:39:04.4,126,B,13.335,0.0846,
000-BBW-592,15:49:12.16,28:11:14.7,127,V,12.666,0.021,
000-BBW-592,15:49:12.16,28:11:14.7,127,B,13.171,0.0443,
000-BBX-183,16:13:12.52,24:59:15.7,127,V,12.678,0.087,
000-BBX-183,16:13:12.52,24:59:15.7,127,B,13.064,0.3229,
000-BBX-333,16:19:45.11,18:28:16.0,127,V,12.661,0.07,
000-BKD-376,16:22:52.73,30:51:46.3,127,V,12.74,0.05,V from UCAC3. B-V from 2MASS/CMC14
000-BKD-376,16:22:52.73,30:51:46.3,127,B,13.35,0.1328,V from UCAC3. B-V from 2MASS/CMC14
000-BKX-745,15:54:16.51,29:56:48.3,127,V,12.668,0.02,
000-BKX-745,15:54:16.51,29:56:48.3,127,B,13.692,0.0529,
000-BKZ-977,16:05:09.31,20:34:55.0,127,V,12.703,0.02,
000-BKZ-977,16:05:09.31,20:34:55.0,127,B,13.348,0.0529,
000-BPQ-920,16:31:29.38,25:29:07.2,127,V,12.705,0.038,
000-BPQ-920,16:31:29.38,25:29:07.2,127,B,13.258,0.0581,
000-BBW-190,15:27:39.81,19:31:34.0,128,V,12.825,0.183,
000-BBW-586,15:48:56.01,28:11:56.8,128,V,12.843,0.019,
000-BBW-586,15:48:56.01,28:11:56.8,128,B,13.457,0.0407,
000-BBX-591,16:30:38.85,21:13:23.1,128,V,12.784,0.018,
000-BBX-591,16:30:38.85,21:13:23.1,128,B,13.559,0.0341,
000-BMG-775,16:10:12.06,22:21:46.9,128,V,12.827,0.149,
000-BMG-775,16:10:12.06,22:21:46.9,128,B,13.582,0.3101,
000-BMR-730,16:16:21.56,22:08:39.3,128,V,12.779,0.057,
000-BMR-730,16:16:21.56,22:08:39.3,128,B,13.871,0.1168,
000-BPH-648,16:16:38.99,31:03:14.1,128,V,12.849,0.045,
000-BPH-648,16:16:38.99,31:03:14.1,128,B,13.611,0.0636,
000-BBX-151,16:12:00.07,24:48:31.5,129,V,12.887,0.07,
000-BBX-593,16:30:40.46,23:18:50.7,129,V,12.857,0.054,
000-BCT-091,15:56:36.20,21:14:04.0,129,V,12.919,0.073,
000-BCT-091,15:56:36.20,21:14:04.0,129,B,13.942,0.2499,
000-BJQ-013,16:02:13.13,28:09:00.3,129,V,12.851,0.026,
000-BJQ-013,16:02:13.13,28:09:00.3,129,B,13.895,0.0572,
000-BLM-297,16:06:05.18,24:18:07.3,129,V,12.924,0.055,
000-BLM-297,16:06:05.18,24:18:07.3,129,B,13.475,0.123,
000-BMH-421,16:03:15.82,26:16:38.5,129,V,12.933,0.022,
000-BMH-421,16:03:15.82,26:16:38.5,129,B,13.833,0.2131,
000-BNM-415,16:26:40.92,23:42:19.6,129,V,12.894,0.014,
000-BNM-415,16:26:40.92,23:42:19.6,129,B,13.643,0.0278,
000-BBX-447,16:24:52.91,18:43:08.8,130,V,13.034,0.055,
000-BBX-447,16:24:52.91,18:43:08.8,130,B,13.889,0.1115,
000-BKM-956,15:39:26.05,29:25:22.5,130,V,12.959,0.056,
000-BKM-956,15:39:26.05,29:25:22.5,130,B,13.966,0.127,
000-BKQ-595,16:05:46.19,18:19:56.5,130,V,13.003,0.028,
000-BKQ-595,16:05:46.19,18:19:56.5,130,B,13.639,0.0699,
000-BKX-744,15:55:04.47,29:57:52.4,130,V,12.965,0.02,
000-BKX-744,15:55:04.47,29:57:52.4,130,B,13.604,0.0529,
000-BLQ-220,16:09:23.25,25:07:50.7,130,V,12.961,0.108,
000-BLQ-220,16:09:23.25,25:07:50.7,130,B,13.623,0.2469,
000-BLZ-412,15:39:55.82,23:05:23.5,130,V,12.979,0.05,
000-BLZ-412,15:39:55.82,23:05:23.5,130,B,13.989,0.103,
000-BMG-776,16:10:35.17,22:17:49.7,130,V,12.965,0.149,
000-BMG-776,16:10:35.17,22:17:49.7,130,B,13.64,0.311,
000-BBW-197,15:27:51.46,19:32:57.6,131,V,13.122,0.071,
000-BBW-200,15:27:56.87,19:34:13.3,131,V,13.088,0.074,
000-BBX-498,16:26:22.56,18:49:25.7,131,V,13.092,0.052,
000-BBX-498,16:26:22.56,18:49:25.7,131,B,13.653,0.1145,
000-BLX-880,15:31:23.86,21:38:57.1,131,V,13.118,0.024,
000-BLX-880,15:31:23.86,21:38:57.1,131,B,13.744,0.0656,
000-BBW-198,15:27:53.88,19:38:17.2,132,V,13.159,0.144,
000-BBX-229,16:16:14.49,25:51:55.9,132,V,13.241,0.153,
000-BBX-489,16:25:48.51,18:51:47.6,132,V,13.223,0.045,
000-BBX-489,16:25:48.51,18:51:47.6,132,B,13.878,0.0918,
000-BJN-773,15:24:41.74,22:09:53.8,132,V,13.233,0.05,
000-BJN-773,15:24:41.74,22:09:53.8,132,B,13.893,0.1003,
000-BJZ-141,15:56:50.95,29:24:18.9,132,V,13.239,0.01,
000-BJZ-141,15:56:50.95,29:24:18.9,132,B,13.821,0.0326,
000-BKQ-596,16:05:50.88,18:23:24.6,132,V,13.23,0.008,
000-BKQ-596,16:05:50.88,18:23:24.6,132,B,14.05,0.0253,
000-BLP-675,15:58:21.62,19:44:02.9,132,V,13.179,0.006,
000-BLP-675,15:58:21.62,19:44:02.9,132,B,13.963,0.0238,
000-BMR-731,16:15:45.92,22:08:55.8,132,V,13.23,0.038,
000-BMR-731,16:15:45.92,22:08:55.8,132,B,13.926,0.0788,
000-BNM-416,16:26:29.30,23:23:21.8,132,V,13.183,0.018,
000-BNM-416,16:26:29.30,23:23:21.8,132,B,14.119,0.0394,
000-BBW-755,15:56:46.06,21:05:17.0,133,V,13.305,0.006,
000-BBW-755,15:56:46.06,21:05:17.0,133,B,14.159,0.0171,
000-BBW-766,15:57:10.15,21:13:30.4,133,V,13.253,0.021,
000-BBW-766,15:57:10.15,21:13:30.4,133,B,13.714,0.0425,
000-BBX-572,16:30:09.29,23:18:32.0,133,V,13.327,0.123,
000-BBX-617,16:31:13.98,21:20:45.2,133,V,13.294,0.012,
000-BBX-617,16:31:13.98,21:20:45.2,133,B,14.399,0.0251,
000-BJQ-015,16:02:03.94,28:03:24.2,133,V,13.306,0.021,
000-BJQ-015,16:02:03.94,28:03:24.2,133,B,14.065,0.0515,
000-BLM-298,16:06:16.84,23:55:25.9,133,V,13.3,0.058,
000-BLM-298,16:06:16.84,23:55:25.9,133,B,13.924,0.1433,
000-BLX-881,15:31:12.85,21:38:44.2,133,V,13.262,0.02,
000-BLX-881,15:31:12.85,21:38:44.2,133,B,14.019,0.0623,
000-BLZ-413,15:40:35.90,23:13:00.8,133,V,13.348,0.04,
000-BLZ-413,15:40:35.90,23:13:00.8,133,B,14.202,0.0939,
000-BMH-422,16:03:32.05,26:14:11.2,133,V,13.257,0.044,
000-BMH-422,16:03:32.05,26:14:11.2,133,B,14.118,0.0896,
000-BNG-325,16:19:22.70,32:11:09.7,133,V,13.28,0.006,
000-BNG-325,16:19:22.70,32:11:09.7,133,B,14.108,0.0257,
000-BBW-587,15:49:03.03,28:12:51.2,134,V,13.412,0.018,
000-BBW-587,15:49:03.03,28:12:51.2,134,B,13.97,0.0411,
000-BBX-250,16:17:01.61,25:57:33.9,134,V,13.414,0.13,
000-BJQ-020,16:01:26.61,28:13:13.9,134,V,13.358,0.035,
000-BJQ-020,16:01:26.61,28:13:13.9,134,B,14.408,0.0792,
000-BJQ-021,16:01:25.84,28:18:48.4,134,V,13.425,0.027,
000-BJQ-021,16:01:25.84,28:18:48.4,134,B,14.084,0.0542,
000-BLP-674,15:58:34.46,19:48:55.9,134,V,13.42,0.008,
000-BLP-674,15:58:34.46,19:48:55.9,134,B,14.051,0.0179,
000-BLQ-219,16:10:43.67,25:09:36.4,134,V,13.436,0.108,
000-BLQ-219,16:10:43.67,25:09:36.4,134,B,14.048,0.2568,
000-BLZ-414,15:40:56.74,23:05:43.1,134,V,13.445,0.047,
000-BLZ-414,15:40:56.74,23:05:43.1,134,B,14.412,0.098,
000-BPH-649,16:16:41.17,31:03:12.5,134,V,13.398,0.056,
000-BPH-649,16:16:41.17,31:03:12.5,134,B,13.983,0.0866,
000-BBW-978,16:05:44.56,18:21:51.3,135,V,13.461,0.011,
000-BBW-978,16:05:44.56,18:21:51.3,135,B,14.384,0.0709,
000-BKZ-978,16:04:53.81,20:29:25.2,135,V,13.483,0.02,
000-BKZ-978,16:04:53.81,20:29:25.2,135,B,14.168,0.0529,
000-BLM-826,15:54:08.79,27:20:17.1,135,V,13.539,0.008,
000-BLM-826,15:54:08.79,27:20:17.1,135,B,14.221,0.0179,
000-BPC-228,15:59:12.10,25:48:16.3,135,V,13.477,0.066,
000-BPC-228,15:59:12.10,25:48:16.3,135,B,14.548,0.1165,
000-BBX-491,16:25:54.71,18:54:04.0,136,V,13.599,0.082,
000-BBX-491,16:25:54.71,18:54:04.0,136,B,14.631,0.1745,
000-BBX-567,16:29:55.08,23:29:27.2,136,V,13.566,0.061,
000-BBX-567,16:29:55.08,23:29:27.2,136,B,14.696,0.1129,
000-BCT-106,15:57:06.60,21:04:39.0,136,V,13.595,0.008,
000-BCT-106,15:57:06.60,21:04:39.0,136,B,14.156,0.017,
000-BKT-648,15:38:46.82,18:46:12.6,136,V,13.625,0.053,
000-BKT-648,15:38:46.82,18:46:12.6,136,B,14.489,0.1248,
000-BLM-299,16:05:38.66,24:12:45.4,136,V,13.584,0.051,
000-BLM-299,16:05:38.66,24:12:45.4,136,B,14.304,0.1212,
000-BNM-417,16:26:14.03,23:30:47.4,136,V,13.56,0.029,
000-BNM-417,16:26:14.03,23:30:47.4,136,B,14.339,0.051,
000-BQK-999,16:02:26.55,20:21:41.4,136,V,13.588,0.049,
000-BQK-999,16:02:26.55,20:21:41.4,136,B,14.27,0.1078,
000-BBW-752,15:56:41.43,29:11:24.3,137,V,13.701,0.021,
000-BBW-752,15:56:41.43,29:11:24.3,137,B,14.126,0.04,
000-BBX-388,16:21:48.89,19:28:34.5,137,V,13.668,0.008,
000-BBX-388,16:21:48.89,19:28:34.5,137,B,14.705,0.0136,
000-BJQ-018,16:02:29.38,28:12:00.7,137,V,13.681,0.025,
000-BJQ-018,16:02:29.38,28:12:00.7,137,B,14.325,0.0515,
000-BLZ-415,15:40:39.49,23:09:53.9,137,V,13.719,0.035,
000-BLZ-415,15:40:39.49,23:09:53.9,137,B,14.541,0.0783,
000-BMG-777,16:10:31.34,22:25:49.5,137,V,13.663,0.151,
000-BMG-777,16:10:31.34,22:25:49.5,137,B,14.636,0.3305,
000-BMR-732,16:16:21.84,22:24:47.4,137,V,13.722,0.026,
000-BMR-732,16:16:21.84,22:24:47.4,137,B,14.796,0.086,
000-BNC-145,16:16:25.41,29:58:12.7,137,V,13.688,0.038,
000-BNC-145,16:16:25.41,29:58:12.7,137,B,14.22,0.107,
000-BBX-240,16:16:43.04,25:49:05.4,138,V,13.85,0.111,
000-BBX-240,16:16:43.04,25:49:05.4,138,B,14.695,0.1964,
000-BJQ-016,16:02:26.57,28:01:31.2,138,V,13.821,0.027,
000-BJQ-016,16:02:26.57,28:01:31.2,138,B,14.496,0.0586,
000-BKZ-979,16:05:02.70,20:35:09.3,138,V,13.78,0.02,
000-BKZ-979,16:05:02.70,20:35:09.3,138,B,14.638,0.0529,
000-BPC-218,15:59:41.28,25:53:35.4,138,V,13.791,0.061,
000-BPC-218,15:59:41.28,25:53:35.4,138,B,14.765,0.1104,
000-BPH-650,16:16:40.63,31:06:33.8,138,V,13.808,0.051,
000-BPH-650,16:16:40.63,31:06:33.8,138,B,14.716,0.0721,
000-BBW-392,15:37:36.74,18:53:21.3,139,V,13.941,0.048,
000-BBW-392,15:37:36.74,18:53:21.3,139,B,14.788,0.1508,
000-BBX-093,16:10:01.61,24:58:56.2,139,V,13.938,0.105,
000-BBX-093,16:10:01.61,24:58:56.2,139,B,14.659,0.2528,
000-BBX-251,16:17:01.79,25:54:07.4,139,V,13.893,0.064,
000-BBX-251,16:17:01.79,25:54:07.4,139,B,14.549,0.1187,
000-BBX-405,16:22:21.52,19:25:23.4,139,V,13.896,0.006,
000-BBX-405,16:22:21.52,19:25:23.4,139,B,14.65,0.0108,
000-BBX-621,16:31:18.54,21:20:11.1,139,V,13.899,0.029,
000-BBX-621,16:31:18.54,21:20:11.1,139,B,14.707,0.0535,
000-BLM-300,16:06:16.49,24:13:20.2,139,V,13.851,0.07,
000-BLM-300,16:06:16.49,24:13:20.2,139,B,14.725,0.1494,
000-BLX-882,15:31:20.70,21:33:16.4,139,V,13.917,0.01,
000-BLX-882,15:31:20.70,21:33:16.4,139,B,14.925,0.0197,
000-BPK-107,16:14:01.48,23:46:26.2,139,V,13.938,0.016,
000-BPK-107,16:14:01.48,23:46:26.2,139,B,14.626,0.0806,
000-BBW-419,15:38:30.01,18:52:23.7,140,V,14.037,0.043,
000-BBW-419,15:38:30.01,18:52:23.7,140,B,14.773,0.1006,
000-BBX-601,16:30:45.26,23:19:12.5,140,V,14.0,0.089,
000-BBX-601,16:30:45.26,23:19:12.5,140,B,14.225,0.1592,
000-BKQ-597,16:05:51.30,18:22:48.2,140,V,13.982,0.014,
000-BKQ-597,16:05:51.30,18:22:48.2,140,B,14.657,0.0519,
000-BLP-678,15:59:46.11,19:37:31.7,140,V,13.962,0.008,
000-BLP-678,15:59:46.11,19:37:31.7,140,B,14.614,0.0179,
000-BBW-189,15:27:39.31,19:36:34.9,141,V,14.074,0.19,
000-BBW-566,15:48:12.16,28:08:30.1,141,V,14.131,0.011,
000-BBW-566,15:48:12.16,28:08:30.1,141,B,14.691,0.0292,
000-BBW-741,15:56:23.60,29:10:13.2,141,V,14.106,0.016,
000-BBW-741,15:56:23.60,29:10:13.2,141,B,14.699,0.0385,
000-BBW-768,15:57:15.90,21:09:16.9,141,V,14.091,0.006,
000-BBW-768,15:57:15.90,21:09:16.9,141,B,15.418,0.0171,
000-BMR-733,16:15:50.56,22:16:14.4,141,V,14.089,0.006,
000-BMR-733,16:15:50.56,22:16:14.4,141,B,14.84,0.0257,
000-BQL-000,16:02:17.02,20:30:01.5,141,V,14.061,0.042,
000-BQL-000,16:02:17.02,20:30:01.5,141,B,14.783,0.1039,
000-BBW-816,15:59:17.99,19:52:52.3,142,V,14.193,0.017,
000-BBW-816,15:59:17.99,19:52:52.3,142,B,14.779,0.0345,
000-BBX-008,16:06:21.12,18:18:59.7,142,V,14.153,0.014,
000-BBX-008,16:06:21.12,18:18:59.7,142,B,14.791,0.0684,
000-BBX-175,16:12:42.51,24:52:41.6,142,V,14.187,0.164,
000-BBX-175,16:12:42.51,24:52:41.6,142,B,15.041,0.2874,
000-BBX-600,16:30:44.76,23:23:06.6,142,V,14.191,0.128,
000-BBX-600,16:30:44.76,23:23:06.6,142,B,14.985,0.2258,
000-BBX-603,16:30:48.03,21:12:04.7,142,V,14.172,0.041,
000-BBX-603,16:30:48.03,21:12:04.7,142,B,14.808,0.0777,
000-BJN-774,15:24:17.38,22:13:35.6,142,V,14.243,0.05,
000-BJN-774,15:24:17.38,22:13:35.6,142,B,14.846,0.1003,
000-BKT-649,15:38:46.70,18:47:51.3,142,V,14.195,0.063,
000-BKT-649,15:38:46.70,18:47:51.3,142,B,14.96,0.1499,
000-BBW-989,16:06:04.42,18:22:53.9,143,V,14.299,0.035,
000-BBW-989,16:06:04.42,18:22:53.9,143,B,14.979,0.0819,
000-BCT-107,15:57:14.30,20:57:48.0,143,V,14.267,0.017,
000-BCT-107,15:57:14.30,20:57:48.0,143,B,15.582,0.038,
000-BKB-506,15:53:53.53,27:22:15.5,143,V,14.32,0.018,
000-BKB-506,15:53:53.53,27:22:15.5,143,B,15.432,0.0457,
000-BKZ-980,16:05:18.41,20:36:21.6,143,V,14.324,0.02,
000-BKZ-980,16:05:18.41,20:36:21.6,143,B,15.072,0.0529,
000-BLM-301,16:05:42.33,24:07:36.0,143,V,14.319,0.061,
